ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000905148-25-001744	0	1	0	
0001085146-25-003330	0	17	198208397	N
0001761054-25-000004	0	1007	25145388	N
0000902664-25-002403	1	1616	2437150572	
0001699575-25-000006	0	57	88129325	N
0001104659-25-049456	0	25	41806378221	
0001085146-25-003329	0	1	0	N
0000902664-25-002402	1	464	1569862336	
0001172661-25-002346	0	12	515170236	
0001363829-25-000094	1	13	264969783	N
0001172661-25-002345	0	36	620319051	
0001552781-25-000187	0	4	4801017547	Y
0001641172-25-010934	0	1	0	Y
0001420506-25-001279	0	566	604398851	N
0001172661-25-002349	0	4	1106278898	
0001693745-25-000003	0	16	363134558	N
0001085146-25-003327	0	0	0	N
0001214659-25-007882	1	202	1807581363	
0000902664-25-002401	0	6	35583652	
0001085146-25-003326	0	1	0	N
0000902664-25-002400	0	8	764425099	
0001085146-25-003325	0	0	0	N
0001012975-25-000243	1	3	214214777	N
0000905148-25-001742	2	201	3342078254	
0000902664-25-002399	0	1983	43803735396	
0000950123-25-005732	2	17	1197667439	N
0000950123-25-005728	8	11	1082138802	N
0000921895-25-001542	2	6	377501914	
0001415889-25-013108	0	18	642995824	N
0000950123-25-005725	0	2	354419572	N
0000905148-25-001741	0	1	0	Y
0001398344-25-009646	0	4	216625620	
0001398344-25-009645	0	360	1884968521	
0001085146-25-003324	0	0	0	N
0001085146-25-003323	0	1	0	N
0001085146-25-003322	0	0	0	N
0001172661-25-002344	0	18	193524365	
0001879202-25-000024	0	21	39026126	
0001085146-25-003321	5	3269	39439645216	N
0002029433-25-000004	0	25	252366713	N
0000905148-25-001740	0	21	540087390	
0001415889-25-013106	0	37	560807077	N
0000950123-25-005707	3	8	235769323	N
0001172661-25-002343	3	5	1121327997	
0000905148-25-001738	0	20	362859266	
0001085146-25-003320	2	309	3040190201	N
0001085146-25-003319	0	1	127500	N
0001398344-25-009643	0	217	384561376	
0000899140-25-000704	0	7	1300318264	
0001892688-25-000121	0	7	231279723	N
0001085146-25-003318	0	0	0	N
0001172661-25-002342	0	32	5763387859	
0001641172-25-010922	0	31	632083959	
0001085146-25-003317	0	0	0	N
0001172661-25-002341	0	298	6174766923	
0001960050-25-000008	0	214	11315416880	N
0002056315-25-000009	0	7842	147137029	N
0001104186-25-000005	0	82	2034065787	N
0001085146-25-003316	0	7	109174194	N
0001062993-25-009540	0	270	3698848701	N
0000905148-25-001737	0	4	476214526	
0001641172-25-010920	0	1	411943	Y
0001085146-25-003315	0	12	306852186	N
0001172661-25-002338	0	48	7343741718	
0001415889-25-013103	0	7	687428073	N
0001415889-25-013102	0	2	777233742	N
0001085146-25-003314	0	123	616065785	N
0000899140-25-000701	0	30	1452903305	
0001949877-25-000007	0	25	231111227	N
0000921895-25-001541	0	13	207969536	
0001085146-25-003313	0	56	150349124	N
