ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001062993-25-009332	197243	0001027796				PZENA INVESTMENT MANAGEMENT LLC
0001062993-25-009332	197244	0001324601				State Street Global Advisors Ltd.
0001062993-25-009332	197245	0001040188				VICTORY CAPITAL MANAGEMENT INC
0001062993-25-009332	197246	0000902219				WELLINGTON MANAGEMENT GROUP LLP
0001062993-25-009332	197247	0001109147				AXIOM INVESTORS LLC /DE
0001062993-25-009332	197248	0001088875				BAILLIE GIFFORD & CO
0001062993-25-009332	197249	0001390777				Bank of New York Mellon Corp
0001062993-25-009332	197250	0000009631				BANK OF NOVA SCOTIA
0001062993-25-009332	197251	0001050459				BlackRock Asset Management Canada Ltd
0001062993-25-009332	197252	0001650142				Bristol Gate Capital Partners Inc.
0001062993-25-009332	197253	0001350585				Coho Partners, Ltd.
0001062993-25-009332	197254	0001389813				Columbia Threadneedle (EM) Investments Ltd
0001062993-25-009332	197255	0001627512				Comgest Asset Management International Ltd
0001062993-25-009332	197256	0001596800				Connor, Clark & Lunn Investment Management Ltd.
0001062993-25-009332	197257	0001102578				EARNEST PARTNERS LLC
0001062993-25-009332	197258	0001305841				Epoch Investment Partners, Inc.
0001062993-25-009332	197259	0000764532				FIDUCIARY MANAGEMENT INC /WI/
0001062993-25-009332	197260	0001513216				First Sentier Investors (Australia) IM Ltd
0001062993-25-009332	197261	0001352662				Grantham, Mayo, Van Otterloo & Co. LLC
0001062993-25-009332	197262	0001368465				Hillsdale Investment Management Inc.
0001062993-25-009332	197263	0000812295				JANUS HENDERSON INVESTORS US LLC
0001062993-25-009332	197264	0001123778				JARISLOWSKY, FRASER Ltd
0001062993-25-009332	197265	0001106129				JENSEN INVESTMENT MANAGEMENT INC
0001062993-25-009332	197239	0001050470				LSV ASSET MANAGEMENT
0001172661-25-001824	197211	0001842440	028-20895	000288198	801-119457	Alpha DNA Investment Management LLC
0001546531-25-000005	196245	0001546531	028-14937			Vitol Holding B.V.
0001546531-25-000005	196244	0001531879	028-14626			Teilinger Capital Ltd.
0000950123-25-005125	196652		028-00139			Ameriprise Financial, Inc
0000950123-25-005125	196653		028-10477	000108257	801-25943	Columbia Management Investment Advisers, LLC
0000950123-25-005125	196665		028-12261			Columbia Threadneedle (EM) Investments Ltd
0000950123-25-005125	196664		028-10849			Thames River Capital LLP
0000950123-25-005125	196663		028-10846			Columbia Threadneedle Management Ltd
0000950123-25-005125	196662		028-17429	000105646	801-34270	Pyrford International Ltd
0000950123-25-005125	196661		028-18942			Ameriprise Bank, FSB
0000950123-25-005125	196660		028-03639	000111168	801-41391	Columbia Wanger Asset Management, LLC.
0000950123-25-005125	196654		028-10458			Ameriprise Trust Co
0000950123-25-005125	196655		028-00140			Ameriprise Certificate Co
0000950123-25-005125	196656		028-00143			RiverSource Life Insurance Co
0000950123-25-005125	196657		028-10460			RiverSource Life Insurance Co of New York
0000950123-25-005125	196658		028-10644			Threadneedle Asset Management Holdings LTD
0000950123-25-005125	196659		028-14918	000006363	801-28543	Ameriprise Financial Services, LLC
0002035675-25-000002	196030	0001086483	028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0002035675-25-000002	196029	0000108572	028-00825	000106302	801-51257	WRIGHT INVESTORS SERVICE INC
0002035675-25-000002	196028	0000881432	028-03019	000107177	801-39348	MERITAGE PORTFOLIO MANAGEMENT
0002035675-25-000002	196027	0001121330	028-05837	000108893	801-45536	LOGAN CAPITAL MANAGEMENT INC
0002035675-25-000002	196026	0001171592	028-10195	000108911	801-32487	HAHN CAPITAL MANAGEMENT LLC
0002035675-25-000002	196025	0001427514	028-13023	000105879	801-14828	Dana Investment Advisors, Inc.
0001546531-25-000004	196902	0001531879	028-14626			Teilinger Capital Ltd.
0000950123-25-005124	196191		028-10460			RiverSource Life Insurance Co of New York
0000950123-25-005124	196190		028-00143			RiverSource Life Insurance Co
0000950123-25-005124	196193		028-14918	000006363	801-28543	Ameriprise Financial Services, LLC
0000950123-25-005124	196194		028-03639	000111168	801-41391	Columbia Wanger Asset Management, LLC.
0000950123-25-005124	196195		028-18942			Ameriprise Bank, FSB
0000950123-25-005124	196196		028-17429	000105646	801-34270	Pyrford International Ltd
0000950123-25-005124	196197		028-10846			Columbia Threadneedle Management Ltd
0000950123-25-005124	196198		028-10849			Thames River Capital LLP
0000950123-25-005124	196199		028-12261			Columbia Threadneedle (EM) Investments Ltd
0000950123-25-005124	196192		028-10644			Threadneedle Asset Management Holdings LTD
0000950123-25-005124	196189		028-00140			Ameriprise Certificate Co
0000950123-25-005124	196186		028-00139			Ameriprise Financial, Inc
0000950123-25-005124	196187		028-10477	000108257	801-25943	Columbia Management Investment Advisers, LLC
0000950123-25-005124	196188		028-10458			Ameriprise Trust Co
0001172661-25-001822	196259	0001103882	028-05431			Paloma Partners Management Co
0001546531-25-000003	196284	0001531879	028-14626			Teilinger Capital Ltd.
0000950123-25-005121	196752		028-10849			Thames River Capital LLP
0000950123-25-005121	196753		028-12261			Columbia Threadneedle (EM) Investments Ltd
0000950123-25-005121	196740		028-00139			Ameriprise Financial, Inc
0000950123-25-005121	196741		028-10477	000108257	801-25943	Columbia Management Investment Advisers, LLC
0000950123-25-005121	196742		028-10458			Ameriprise Trust Co
0000950123-25-005121	196743		028-00140			Ameriprise Certificate Co
0000950123-25-005121	196744		028-00143			RiverSource Life Insurance Co
0000950123-25-005121	196745		028-10460			RiverSource Life Insurance Co of New York
0000950123-25-005121	196746		028-10644			Threadneedle Asset Management Holdings LTD
0000950123-25-005121	196747		028-14918	000006363	801-28543	Ameriprise Financial Services, LLC
0000950123-25-005121	196748		028-03639	000111168	801-41391	Columbia Wanger Asset Management, LLC.
0000950123-25-005121	196749		028-18942			Ameriprise Bank, FSB
0000950123-25-005121	196750		028-17429	000105646	801-34270	Pyrford International Ltd
0000950123-25-005121	196751		028-10846			Columbia Threadneedle Management Ltd
0000950123-25-005119	196897		028-10849			Thames River Capital LLP
0000950123-25-005119	196896		028-10846			Columbia Threadneedle Management Ltd
0000950123-25-005119	196895		028-17429	000105646	801-34270	Pyrford International Ltd
0000950123-25-005119	196894		028-18942			Ameriprise Bank, FSB
0000950123-25-005119	196893		028-03639	000111168	801-41391	Columbia Wanger Asset Management, LLC.
0000950123-25-005119	196892		028-14918	000006363	801-28543	Ameriprise Financial Services, LLC
0000950123-25-005119	196898		028-12261			Columbia Threadneedle (EM) Investments Ltd
0000950123-25-005119	196890		028-10460			RiverSource Life Insurance Co of New York
0000950123-25-005119	196889		028-00143			RiverSource Life Insurance Co
0000950123-25-005119	196888		028-00140			Ameriprise Certificate Co
0000950123-25-005119	196887		028-10458			Ameriprise Trust Co
0000950123-25-005119	196886		028-10477	000108257	801-25943	Columbia Management Investment Advisers, LLC
0000950123-25-005119	196885		028-00139			Ameriprise Financial, Inc
0000950123-25-005119	196891		028-10644			Threadneedle Asset Management Holdings LTD
0000950123-25-005118	196130		028-12261			Columbia Threadneedle (EM) Investments Ltd
0000950123-25-005118	196129		028-10849			Thames River Capital LLP
0000950123-25-005118	196128		028-10846			Columbia Threadneedle Management Ltd
0000950123-25-005118	196127		028-17429	000105646	801-34270	Pyrford International Ltd
0000950123-25-005118	196126		028-18942			Ameriprise Bank, FSB
